08 19 17:37:40.645  INFO mysql_avatar::mysqld:73       : Binlog watcher inited, start after 3 secs, running every 3 secs
08 19 17:37:43.650 DEBUG mysql_avatar::mysqld:108      : Binlog file changed...C:/Users/BK-liao/mysqltest/data/binlog/mysql-bin.000002
08 19 17:37:50.636 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.637 DEBUG sqlparser::parser:1237        : prefix: Value(ValueWithSpan { value: SingleQuotedString("mysql-bin.000001"), span: Span(Location(1,24)..Location(1,42)) })
08 19 17:37:50.637 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: Comma, span: Span(Location(1,42)..Location(1,43)) }
08 19 17:37:50.637 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.638 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.638 DEBUG sqlparser::parser:1237        : prefix: Value(ValueWithSpan { value: Number("256618", false), span: Span(Location(1,43)..Location(1,49)) })
08 19 17:37:50.638 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: RParen, span: Span(Location(1,49)..Location(1,50)) }
08 19 17:37:50.638 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.638 DEBUG sqlparser::parser:1237        : prefix: Function(Function { name: ObjectName([Identifier(Ident { value: "binlog_gtid_pos", quote_style: None, span: Span(Location(1,8)..Location(1,23)) })]), uses_odbc_syntax: false, parameters: None, args: List(FunctionArgumentList { duplicate_treatment: None, args: [Unnamed(Expr(Value(ValueWithSpan { value: SingleQuotedString("mysql-bin.000001"), span: Span(Location(1,24)..Location(1,42)) }))), Unnamed(Expr(Value(ValueWithSpan { value: Number("256618", false), span: Span(Location(1,43)..Location(1,49)) })))], clauses: [] }), filter: None, null_treatment: None, over: None, within_group: [] })
08 19 17:37:50.639 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 19 17:37:50.639 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.641 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.643 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.644  INFO mysql_avatar::mysqld:331      : handle_binlog_command:: request_filename: mysql-bin.000001, request_pos: 256618
08 19 17:37:50.645 DEBUG mysql_avatar::mysqld:348      : handle_binlog_command: filename: C:/Users/BK-liao/mysqltest/data/binlog/mysql-bin.000001
08 19 17:37:50.672 DEBUG mysql_avatar::mysqld:354      : handle_binlog_command: filename: C:/Users/BK-liao/mysqltest/data/binlog/mysql-bin.000002
08 19 17:37:50.672  INFO mysql_avatar::mysqld:355      : handle_binlog_command:: rotate to filename: C:/Users/BK-liao/mysqltest/data/binlog/mysql-bin.000002
08 19 17:37:50.683 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.683 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.198 DEBUG mysql_avatar::mysqld:159      : Read data failed, deadline has elapsed
08 19 17:37:51.199 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:51.200 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.200 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.201 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.202 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.203 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.203 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.204 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.204 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.204 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.205 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.206 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.206 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.207 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.207 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.208 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.209 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.209 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.210 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.210 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.210 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.210 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.211 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.212 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.213 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.214 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.214 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.214 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.214 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.214 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.214 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.214 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.215 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.216 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.217 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.218 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.219 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.219 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.219 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.219 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.219 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.219 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.219 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.220 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.221 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.221 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.221 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.221 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.221 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.221 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.222 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.223 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.224 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.225 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.226 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.227 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.228 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.229 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.229 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.229 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.229 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.229 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.229 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.229 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.230 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.230 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.230 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.230 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.230 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.230 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.230 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.231 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.232 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.233 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.234 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.235 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.235 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:51.235 DEBUG mysql_avatar::mysqld:166      : socket.writable...
